name_broker,zipcode_broker,description_broker,score_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months,url
Schieland Borsboom regio Rotterdam,3011 KA,"Met kantoren in Rotterdam, Den Haag en Zoetermeer, een team waar we heel blij mee zijn, een mooie woningportefeuille en een flinke dosis gedrevenheid, staan wij dagelijks klaar voor onze kopers, verkopers, huurders, verhuurders, beleggers en projectontwikkelaars. Met trots prijken wij ieder jaar steevast in de Top 10 van de Vastgoed Top100 als Best Verkopende Makelaars.Ons makelaarskantoor bestaat al sinds 1980. Van éénpitter, naar familiebedrijf, naar een speler van formaat op de woningmarkt in de regio Den Haag Haaglanden, Zoetermeer, Delft, Leiden, Lansingerland en Rotterdam Rijnmond.‘Groot geworden door klein te blijven’ is dan ook een quote die ons past als een jas. In de vaak hectische en soms emotionele vastgoedmarkt, ligt onze kracht onverminderd bij het kwalitatief hoogwaardig, maar no-nonsense en vooral persoonlijk makelen. Wij houden het hoofd koel en het hart warm.Maar genoeg over ons; wij maken graag kennis met u! Nodig ons uit voor een geheel vrijblijvend gesprek en vertel ons over ú, uw woning, uw droomwoning, uw wensen, uw vragen en uw verwachtingen van ons. Wij zijn benieuwd!  ",9.0,67,463,392,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15501-schieland-borsboom-regio-rotterdam/
Makelaarsland,1821 BS,"Voor veel mensen is een huis kopen of verkopen vaak een onoverzichtelijk groot en belangrijk monster. Gemiddeld verkoopt iemand 3,2 keer in zijn leven zijn huis. Daar kunnen de meeste mensen dus wel wat professionele hulp bij gebruiken. Je (ver)koopt tenslotte geen brood...Wij zijn Makelaarsland, en wij staan naast je als je dat nodig hebt en achter je als je zelf het heft in handen neemt. Wij helpen en ontzorgen. Wij zorgen ervoor dat je makkelijk, snel en effectief je huis verkoopt óf een ander aankoopt. Met ervaring, logica, de laatste techniek van vandaag en pasklare oplossingen en gaan altijd voor het maximaal haalbare resultaat. Gegarandeerd. We spannen ons voor ieder huis even hard in.  We hebben een vast tarief en maken heldere afspraken. En dat doen we allemaal op een nuchtere, open en eerlijke manier. Wij zijn Makelaarsland, we geloven niet in mooie praatjes en maken waar wat we beloven.Elk huis is anders. Elke verkoper en koper trouwens ook. Zo heb je zelfdoeners en latendoeners. De één doet liever zelf iets meer en de ander geeft alles uit handen. Wij hebben voor beide dé oplossing.  Vaak is de makelaarscourtage een percentage van de koopsom. Daar doen wij niet aan! Bij ons betaal je gewoon een vast tarief, ongeacht de waarde van het huis. En dat betaal je pas achteraf. Zo weet je precies waar je aan toe bent.  Bel voor een gratis informatiegesprek 088 200 2060 of stel je vraag via info@makelaarsland.nl.Makelaarsland is onderdeel van ING.                       ",8.8,Missing,585,2746,https://www.funda.nl/en/makelaars/kantoor/alkmaar/12285-makelaarsland/
van Santvoort Makelaars,5654 AN,"Thuis in uw regio  Van Santvoort Makelaars is thuis in de regio. En kent de omgeving als geen ander. Wij helpen u bij transacties van woningen, nieuwbouw, bedrijfspanden en agrarisch onroerend goed. Bij verkoop, aankoop, huur, verhuur, nieuwbouwconsultancy, taxaties en financiële diensten bieden wij u meerwaarde.Persoonlijke aanpak  Bij Van Santvoort leven we ons in en verdiepen we ons in uw vraag. Iedere opdracht begint met een persoonlijk gesprek. U kunt rekenen op een werkwijze die een NVM-makelaar eigen is.NVM  Als NVM-makelaar garanderen wij u een dienstverlening die niets te wensen overlaat. Kennis van zaken, een gedegen begeleiding en een regelmatige terugkoppeling zijn daarbij inbegrepen. Het resultaat komt overeen met uw verwachtingen.Bij Van Santvoort Makelaars vindt u een breed dienstenpakket. Met dit aanbod bieden wij u een passend antwoord op uw vraag. Geheel overeenkomstig uw wensen en behoeften. Ruim dertig jaar kennis en ervaring werken in uw voordeel.",8.9,153,567,418,https://www.funda.nl/en/makelaars/kantoor/eindhoven/14269-van-santvoort-makelaars/
Hans Janssen Garantiemakelaars,6511 TE,"Wij onderscheiden ons in de eerste plaats door onze medewerk(st)ers! Zij bepalen de kwaliteit van de dienstverlening van Hans Janssen Garantiemakelaars. Maak kennis met één van hen en met onze specifieke werkwijze als NVM makelaar, Garantiemakelaar en NVM nieuwbouw-specialist!Hans Janssen Garantiemakelaars is actief als:Oriënteer u op onze website www.hansjanssen.nl en bel of mail voor een afspraak..",8.9,137,398,473,https://www.funda.nl/en/makelaars/kantoor/nijmegen/13117-hans-janssen-garantiemakelaars/
Corpowonen,7901 AE,"Corpowonen is dé landelijke internetmakelaar voor verkoop en verhuur van woningen door woningcorporaties die zelf actief betrokken wensen te zijn bij het verkoop- en verhuurproces.Wij onderscheiden ons van de traditionele makelaar door het aanbieden van deeldiensten op het gebied van verkoop van bestaande koopwoningen, verkoop van nieuwbouwprojecten en verhuur van (vrije sector) huurwoningen.",8.3,3,187,998,https://www.funda.nl/en/makelaars/kantoor/hoogeveen/22230-corpowonen/
TW3 Strategie Marketing Makelaardij,3016 CJ," TW3 is een kantoor met een onderscheidende dienstverlening, gefundeerd op expertise en een betrouwbare procedure conform NVM-regelgeving. Wij bieden u een mix van diensten: - projectadvies in de voorbereiding en haalbaarheidsstudies - marketingvisies en -begeleiding - makelaarsdiensten zoals begeleiding bij aan- en verkoop, verhuur, financieel advies en taxatie - financiële expertise en kennis van de markt in het geval van beleggingsobjecten TW staat voor Toegevoegde Waarde De 3 staat voor de verbeelding van de 3 diensten onder één dak: - makelaarsdiensten - strategie - marketingOnze aanpak is gestoeld op een brede expertise, jarenlange ervaring, een uitstekende kennis van regelgeving, inzicht in consumentenwensen en creativiteit in de uitvoering. Flexibiliteit is de kernwaarde van onze werkwijze die zich uit in het dienstenpakket en ons klantgericht werken.TW3 beschikt over een breed en diep netwerk in de markt. Door de combinatie van kennis en creativiteit is TW3 in staat om juist in de veranderde woningbouwmarkt het verschil te kunnen maken voor partijen. De regio is Groot-Rotterdam/Gouda/Haaglanden, maar de specifieke expertise is ook landelijk inzetbaar. De adviseurs en makelaars van TW3 zijn Marco Jongeleen, Göran Boon en Tom van Noord. Zelfstandig opererende medewerkers die elkaar op de diverse kennisvlakken kunnen aanvullen en ondersteunen.Centraal in onze werkwijze staat de klant. Per project fungeert de verkoopadviseur van TW3 als het aanspreekpunt voor U, de klant binnen het project. Een platform waar U met alle vragen terecht kunt omtrent de aankoop of huur van de nieuwe woning, taxaties, financieel advies, verkoop eigen woning, keuze kopersvraagstukken. Graag zijn wij uw vertrouwenspersoon in het gehele traject. Wij stellen ons flexibel op in tijd en locatie omtrent afspraken. Zo kunt u afspraken maken op diverse afspreekpunten of als u dat wenst bij u thuis.",Missing,Missing,565,447,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15460-tw3-strategie-marketing-makelaardij/
Eefje Voogd Makelaardij,1077 DG," Wij zijn de moderne partner met jarenlange ervaring in de onroerend goed markt in Amsterdam en omstreken. Onze klantenkring varieert van particulieren tot projectontwikkelaars. Van hen die een huis willen aan- of verkopen of willen laten taxeren tot degenen die onze expertise inschakelen bij de voorbereiding, en verkoop of verhuur,  van projectmatig onroerend goed (nieuwbouw of uitponding). We zijn makelaars met een creatieve geest en trachten op originele wijze gestelde doelen te realiseren. We zijn enthousiast en gedreven in alles wat we doen en kennen de branche in al haar facetten. Niet alleen de zakelijke kant, maar ook sociale aspecten hebben onze volle aandacht. We zijn alert op nieuwe trends en vertalen dit in onze werkwijze. Onze expertise betekent uw gemak. Het is ons plezier en onze kracht om een uitdaging te accepteren teneinde tot een optimale dienstverlening te komen, van begin tot eind en zelfs daarna nog!",Missing,Missing,652,485,https://www.funda.nl/en/makelaars/kantoor/amsterdam/24705-eefje-voogd-makelaardij/
Damen Makelaardij,6417 BN,"Damen is een full-service advieskantoor voor makelaardij, hypotheken en verzekeringen. Al drie generaties lang!Persoonlijk advies, een goede service en een actieve, attente houding. Dat zijn de eigenschappen die dit Limburgse familiebedrijf al bijna honderd jaar kenmerken. Onder leiding van Jos en Daniëlle Damen is Damen uitgegroeid tot de grootste makelaardij van Limburg, met kantoren in Maastricht, Heerlen, Roermond en Sittard.Wij vinden dat je huis een thuis moet zijn. Een fijne plek waar je graag bent. Waar je comfortabel woont en je je thuis voelt. Bij Damen helpen wij mensen graag om zo’n thuis te vinden. Een persoonlijke benadering staat daarbij centraal.Onze makelaars werken daarom met een kleine portefeuille. Dat maakt het mogelijk om actief te makelen. Om contact te houden met de klant, de geïnteresseerden én met elkaar. Deze korte lijnen zorgen ervoor dat we steeds de juiste klant bij het juiste pand vinden. De menselijke maat in een grote, professionele organisatie. Dat is Damen!",9.0,175,172,577,https://www.funda.nl/en/makelaars/kantoor/heerlen/21194-damen-makelaardij/
Frisia Makelaars,2585 AA,"Frisia Makelaars staat voor u klaar! Naast een goed en doortastend advies, nemen wij al het werk uit handen bij de verkoop en/of aankoop, verhuur van  uw woning, wat voor u waarschijnlijk geen dagelijkse kost is. Voor ons wel, wij zijn vertegenwoordigd in vrijwel alle denkbare (sociale) netwerken.  Het is ons vak en wij vinden het belangrijk om mensen gelukkig te zien, die een  nieuwe stap zetten in hun wooncarrière. Door ons kantoor in te schakelen bij  de verkoop dan wel de aankoop van uw woning wordt de kans op ""een transactie zonder verrassingen"" groter. Ons kantoor werkt met van tevoren overeengekomen tarieven voor transactiebegeleiding. Zelfs met inschakeling van Frisia Makelaars bent u zeker niet duurder uit. Vakmanschap: Frisia Makelaars geeft antwoord op iedere ""vraag"" over onroerend goed en biedt oplossingen voor complexe vraagstukken van uiteenlopende aard en grootte.De Frisia Makelaars organisatie biedt houvast bij vastgoed:  Jarenlange ervaring en helemaal up to date op elk gebied van de onroerend goedmarkt maakt ons tot een betrouwbare moderne adviseur en vertegenwoordiger van uw belangen.  Uw belang is ons doel! Wij koesteren de persoonlijke en duurzame relatie,  gebaseerd op eerlijkheid. Onze adviezen moeten helder, direct en duidelijk  zijn. Onze kennis over de markt en het vakgebied staan op een hoog peil. Ten  behoeve van de uitvoering van de opdrachten wordt hier op efficiënte manier  gebruik van gemaakt. Onze vakmensen maken uw verwachtingen waar. Hun kennis en vaardigheden bieden u houvast bij het nemen van de juiste beslissingen over vastgoed.Tevens maakt Frisia Makelaars deel uit van een samenwerkingsverband van  veertien zelfstandige regionale makelaarskantoren: Dynamis, Vastgoedconsultants en Makelaars.  Dynamis richt zich op de landelijke zakelijke markt van vastgoeddiensten met  als strategie: ""landelijke dekking, regionale diepgang en uniforme werkwijze"".Dynamis heeft vestigingen in heel Nederland;  Rodenburg Makelaars in Apeldoorn, Deventer en Zutphen, Strijbosch Thunissen Makelaars in Arnhem en Nijmegen, Verschuuren & Schreppers Bedrijfsmakelaars in Eindhoven, Frisia Makelaars in Den Haag, Snelder Zijlstra Groep in Enschede, Boek en Offermans Makelaars in Heerlen en Maastricht, Boelens Jorritsma in Groningen, Ooms Groep Rotterdam e.o., Hol en Molenbeek in Utrecht en Bramer Makelaars in Zwolle, Van der Sande in Breda, Lamberink in o.a. Assen",9.2,194,688,678,https://www.funda.nl/en/makelaars/kantoor/den-haag/8189-frisia-makelaars/
Van der Krabben makelaardij Oss BV,5341 HA,"Thuis in de regioBij Van der Krabben zijn we thuis in de regio. Daardoor weten we als geen ander wat er speelt en wat er allemaal bij een succesvolle aankoop of verkoop van een woning komt kijken. Niet voor niets beoordelen klanten ons met een gemiddeld rapportcijfer van 9,1!Natuurlijk helpen we jou ook graag bij het kopen of verkopen van je woning. Daarvoor staat er een enthousiast en op elkaar ingespeeld team van ervaren medewerkers voor je klaar. Samen doen we er alles aan om je koop- en/of verkoopwensen uit te laten komen. Onze vakkennis, creativiteit en winnaarsmentaliteit zijn daarbij vaak een doorslaggevende factor.We helpen je graag met:- (Ver)koop- (Ver)huur- Nieuwbouwprojecten- Taxaties- Hypotheekadvies.Daarmee zijn we met afstand de grootste, veelzijdigste en meest ervaren makelaar in de regio. Een keuze voor ons is dan ook een keuze voor snelheid en zekerheid!Openingstijden: 8.30 – 18.00 uur (maandag tot en met vrijdag) en 9.30 – 12.30 uur (zaterdag). Een bezichtiging of adviesgesprek in de avonduren kan natuurlijk ook (op afspraak).",9.0,211,174,536,https://www.funda.nl/en/makelaars/kantoor/oss/11074-van-der-krabben-makelaardij-oss-bv/
