name_broker,zipcode_broker,description_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months,url
Damen Makelaardij,6417 BN,"Damen is een full-service advieskantoor voor makelaardij, hypotheken en verzekeringen. Al drie generaties lang!Persoonlijk advies, een goede service en een actieve, attente houding. Dat zijn de eigenschappen die dit Limburgse familiebedrijf al bijna honderd jaar kenmerken. Onder leiding van Jos en Daniëlle Damen is Damen uitgegroeid tot de grootste makelaardij van Limburg, met kantoren in Maastricht, Heerlen, Roermond en Sittard.Wij vinden dat je huis een thuis moet zijn. Een fijne plek waar je graag bent. Waar je comfortabel woont en je je thuis voelt. Bij Damen helpen wij mensen graag om zo’n thuis te vinden. Een persoonlijke benadering staat daarbij centraal.Onze makelaars werken daarom met een kleine portefeuille. Dat maakt het mogelijk om actief te makelen. Om contact te houden met de klant, de geïnteresseerden én met elkaar. Deze korte lijnen zorgen ervoor dat we steeds de juiste klant bij het juiste pand vinden. De menselijke maat in een grote, professionele organisatie. Dat is Damen!",175,169,578,https://www.funda.nl/en/makelaars/kantoor/heerlen/21194-damen-makelaardij/
Makelaardij Hoekstra Leeuwarden,8911 AW," Mogen we ons even aan u voorstellen? Hoekstra is de naam. Sinds 1987 een begrip in Friesland. Vanuit onze kantoren in , Heerenveen, Sneek en Joure bedienen we de gehele provincie Friesland. Dagelijks staan er 65 enthousiaste medewerkers klaar om u bij te staan met raad en daad.Nagenoeg alle vastgoeddisciplines zijn in ons bedrijf verenigd; Daarnaast zijn wij betrokken bij de ontwikkeling van nieuwe projecten voor woningen en appartementen, winkels en kantoren. Op trends en planologische ontwikkelingen spelen wij direct in met creatieve ideeën en actief beleid. Onze expertise, veelzijdigheid en fysieke aanwezigheid in alle (groei)regio’s van de provincie maken ons tot een waardevolle partner van institutionele beleggers, projectontwikkelaars, woningbouwverenigingen, gemeenten en bouwbedrijven.  Particulieren die hun huis willen verkopen en/of een ander huis willen kopen, zijn bij ons aan het juiste adres. Makelaardij Hoekstra is als geen ander op de hoogte van vraag en aanbod op de koopwoningenmarkt in Friesland. Ook voor een waardebepaling of taxatie zijn wij u graag van dienst.  Om u een goed, compleet en actueel overzicht te bieden van ons aanbod qua bestaande bouw en nieuwbouw, geven wij 4 keer per jaar het magazine 'Wonen in Fryslan' uit.Voor meer informatie kunt u terecht op onze website www.makelaardijhoekstra.nl of u kunt bellen of langskomen op één van onze vestigingen.",233,276,379,https://www.funda.nl/en/makelaars/kantoor/leeuwarden/5084-makelaardij-hoekstra-leeuwarden/
Van der Krabben makelaardij Oss BV,5341 HA,"Thuis in de regioBij Van der Krabben zijn we thuis in de regio. Daardoor weten we als geen ander wat er speelt en wat er allemaal bij een succesvolle aankoop of verkoop van een woning komt kijken. Niet voor niets beoordelen klanten ons met een gemiddeld rapportcijfer van 9,1!Natuurlijk helpen we jou ook graag bij het kopen of verkopen van je woning. Daarvoor staat er een enthousiast en op elkaar ingespeeld team van ervaren medewerkers voor je klaar. Samen doen we er alles aan om je koop- en/of verkoopwensen uit te laten komen. Onze vakkennis, creativiteit en winnaarsmentaliteit zijn daarbij vaak een doorslaggevende factor.We helpen je graag met:- (Ver)koop- (Ver)huur- Nieuwbouwprojecten- Taxaties- Hypotheekadvies.Daarmee zijn we met afstand de grootste, veelzijdigste en meest ervaren makelaar in de regio. Een keuze voor ons is dan ook een keuze voor snelheid en zekerheid!Openingstijden: 8.30 – 18.00 uur (maandag tot en met vrijdag) en 9.30 – 12.30 uur (zaterdag). Een bezichtiging of adviesgesprek in de avonduren kan natuurlijk ook (op afspraak).",211,174,536,https://www.funda.nl/en/makelaars/kantoor/oss/11074-van-der-krabben-makelaardij-oss-bv/
Schieland Borsboom regio Zoetermeer,2712 HB,"    Zoetermeer is waar ons avontuur in 1980 begon. Inmiddels zijn wij al jaren steevast de nummer 1. van Zoetermeer. Met het grootste team, de meeste transacties, maar ook de beste verkoop- en aankoopresultaten. Natuurlijk doen wij hiervoor ook enorm ons best; wij lopen graag voorop, staan nooit stil, dagen onszelf uit en willen alleen het allerbeste voor onze klanten. Gepassioneerd als wij zijn, kunnen we nog wel even doorgaan met deze borstklopperij,      Eerlijk is eerlijk: bovenal hebben wij ons succes te danken aan onze (trouwe) klanten die ons hun opdracht toevertrouwen, die iedere keer maar weer hun huis opruimen voor een bezichtiging, die ons scherp houden met soms pittige vragen, die in het heetst van de strijd ons weer laten zien hoe emotioneel het kopen of verkopen van een huis kan zijn..... En die ons uiteindelijk van harte aanbevelen bij hun vrienden en kennissen en ons blij maken met een mooie review.     Ode aan onze klanten!       Genoeg over ons; wij maken graag kennis met u! Nodig ons uit voor een gesprek en vertel ons over ú, uw woning, uw droomwoning, uw wensen, uw vragen en uw verwachtingen van ons. Daag ons maar uit, wij zijn benieuwd!",547,421,419,https://www.funda.nl/en/makelaars/kantoor/zoetermeer/8387-schieland-borsboom-regio-zoetermeer/
WVK Makelaars,2271 BD,"WVK Makelaars werkt met een team van specialisten op het gebied van bestaande bouw, nieuwbouw en bedrijfsmatig onroerend goed. Met groot plezier staan wij klaar voor onze talloze opdrachtgevers uit zowel de particuliere als commerciële sector. Kopers en mensen die hun huis willen verkopen, ontwikkelaars, gemeenten en woningcorporaties zijn bij WVK Makelaars aan het juiste adres.Bent u op zoek, naast een waardevolle transactie, naar ook een plezierige relatie met uw makelaar? Kom dan binnenkort, vrijblijvend, eens langs bij ons kantoor in Voorburg of Nootdorp. U bent meer dan welkom!",127,311,373,https://www.funda.nl/en/makelaars/kantoor/voorburg/8335-wvk-makelaars/
Makelaarsland,1821 BS,"Voor veel mensen is een huis kopen of verkopen vaak een onoverzichtelijk groot en belangrijk monster. Gemiddeld verkoopt iemand 3,2 keer in zijn leven zijn huis. Daar kunnen de meeste mensen dus wel wat professionele hulp bij gebruiken. Je (ver)koopt tenslotte geen brood...Wij zijn Makelaarsland, en wij staan naast je als je dat nodig hebt en achter je als je zelf het heft in handen neemt. Wij helpen en ontzorgen. Wij zorgen ervoor dat je makkelijk, snel en effectief je huis verkoopt óf een ander aankoopt. Met ervaring, logica, de laatste techniek van vandaag en pasklare oplossingen en gaan altijd voor het maximaal haalbare resultaat. Gegarandeerd. We spannen ons voor ieder huis even hard in.  We hebben een vast tarief en maken heldere afspraken. En dat doen we allemaal op een nuchtere, open en eerlijke manier. Wij zijn Makelaarsland, we geloven niet in mooie praatjes en maken waar wat we beloven.Elk huis is anders. Elke verkoper en koper trouwens ook. Zo heb je zelfdoeners en latendoeners. De één doet liever zelf iets meer en de ander geeft alles uit handen. Wij hebben voor beide dé oplossing.  Vaak is de makelaarscourtage een percentage van de koopsom. Daar doen wij niet aan! Bij ons betaal je gewoon een vast tarief, ongeacht de waarde van het huis. En dat betaal je pas achteraf. Zo weet je precies waar je aan toe bent.  Bel voor een gratis informatiegesprek 088 200 2060 of stel je vraag via info@makelaarsland.nl.Makelaarsland is onderdeel van ING.                       ",Missing,592,2743,https://www.funda.nl/en/makelaars/kantoor/alkmaar/12285-makelaarsland/
Lunshof Makelaardij Amstelveen,1181 RJ,"Lunshof Makelaardij, gevestigd in Amstelveen en Amsterdam, opereert sinds 1975 in de regio Groot-Amsterdam. Ons team bestaat uit vier ervaren en enthousiaste makelaars, die ondersteund worden door een uitgebreide back-office. Bent u benieuwd wat Lunshof Makelaardij voor u kan betekenen? Neemt u gerust contact met ons op, wij maken graag een vrijblijvende afspraak.Dienstverlening en service:  Lunshof Makelaardij staat u met plezier terzijde wanneer u overweegt een woning te kopen, uw eigen huis te verkopen, of een taxatie van uw woning nodig heeft. Van welke diensten u ook gebruik wilt maken, u bent verzekerd van de deskundigheid en uitgebreide expertise van onze medewerkers.  Zowel op het gebied van de woningmarkt, als op het gebied van technische en bouwkundige aspecten of de financiering. Onze medewerkers zijn letterlijk van alle markten thuis! Bovendien heeft u altijd een vast contactpersoon, iemand die volledig op de hoogte is van uw situatie en wensen. U wordt bij het kopen of verkopen van een woning dus altijd persoonlijk begeleid.",111,364,183,https://www.funda.nl/en/makelaars/kantoor/amstelveen/24425-lunshof-makelaardij-amstelveen/
Van de Water Makelaars,5037 LG,"Van de Water Makelaars heeft zich in de loop der jaren ontwikkeld tot een betrouwbaar, deskundig en professioneel makelaarskantoor. Wij streven continu naar een optimale dienstverlening binnen ons vakgebied; de verkoop, aankoop en taxaties van alle typen woningen. Bij Van de Water Makelaars is een enthousiast team van medewerkers zes dagen per week intensief bezig om u een optimale dienstverlening te garanderen. Met meerdere kantoren in ons werkgebied zijn wij uitstekend op de hoogte van de lokale en regionale marktomstandigheden.Verkoop  Als u uw woning wilt verkopen, kan een van onze deskundige makelaars vrijblijvend bij u langskomen om een juiste en betrouwbare indicatie te geven van de waarde van uw woning. Tevens leggen wij u uit hoe Van de Water Makelaars u kan begeleiden bij het volledige verkooptraject. Onze dienstverlening is gedegen en deskundig met natuurlijk een optimale koopsom als resultaat. Voor een heldere en vrijblijvende waardebepaling van uw woning en een uitleg over het volledige verkooptraject, neemt u contact op met Van de Water Makelaars.Aankoop  De woningmarkt is voortdurend in beweging. Om zeker te zijn van een succesvolle aankoop is begeleiding door een deskundige makelaar wenselijk of zelfs noodzakelijk. Of het nu gaat om begeleiding bij het volledige aankooptraject of juist om die ene 'gouden tip', onze deskundige makelaars beschikken over alle faciliteiten om op uw specifieke wensen in te spelen. Voor een heldere en vrijblijvende uitleg over het volledige aankooptraject neemt u contact op met Van de Water Makelaars.Taxaties  De waarde van uw woning die voor u van belang is, kan alleen realistisch beoordeeld worden door een deskundige. Onze brede praktijkervaring en onze uitgebreide informatiebronnen vormen de garantie voor een realistisch en deskundig waarde-oordeel. Onze taxatie-rapporten zijn zeer uitgebreid en houden op weloverwogen wijze rekening met alle relevante gegevens. Voor een realistische en deskundige taxatie van uw woning neemt u contact op met Van de Water Makelaars.",233,295,298,https://www.funda.nl/en/makelaars/kantoor/tilburg/19200-van-de-water-makelaars/
Punt Makelaars Utrecht,3512 VX,Punt Makelaars is een modern en eigentijds makelaarskantoor waar de klant centraal staat. Ouderwetse kwaliteit met de beleving van nu!Wij doen ons werk met passie en gedrevenheid.Wij houden ons primair bezig met mensen en hun gevoel en zijn ons bewust van hun wensen en interesses.Onze ambitie is om de hoogste waardering te krijgen van onze opdrachtgevers!Wij kennen de markt en verstaan ons vak.,Missing,172,442,https://www.funda.nl/en/makelaars/kantoor/utrecht/17385-punt-makelaars-utrecht/
Nieuw Wonen Twente,7511 AE,"Nieuw Wonen Twente streeft ernaar de beste match te maken tussen de nieuwbouwplannen, de opdrachtgevers en de kopers!Hét startpunt voor als je op zoek bent naar een nieuwbouwwoning koop of huur, of een bouwkavel in de regio Twente. Nieuw Wonen Twente biedt:",1,328,244,https://www.funda.nl/en/makelaars/kantoor/enschede/16259-nieuw-wonen-twente/
Van de Water Makelaars,4811 HL,"Van de Water Makelaars heeft zich in de loop der jaren ontwikkeld tot een betrouwbaar, deskundig en professioneel makelaarskantoor. Wij streven continu naar een optimale dienstverlening binnen ons vakgebied; de verkoop, aankoop en taxaties van alle typen woningen. Bij Van de Water Makelaars is een enthousiast team van medewerkers zes dagen per week intensief bezig om u een optimale dienstverlening te garanderen. Met meerdere kantoren in ons werkgebied zijn wij uitstekend op de hoogte van de lokale en regionale marktomstandigheden.Verkoop  Als u uw woning wilt verkopen, kan een van onze deskundige makelaars vrijblijvend bij u langskomen om een juiste en betrouwbare indicatie te geven van de waarde van uw woning. Tevens leggen wij u uit hoe Van de Water Makelaars u kan begeleiden bij het volledige verkooptraject. Onze dienstverlening is gedegen en deskundig met natuurlijk een optimale koopsom als resultaat. Voor een heldere en vrijblijvende waardebepaling van uw woning en een uitleg over het volledige verkooptraject, neemt u contact op met Van de Water Makelaars.Aankoop  De woningmarkt is voortdurend in beweging. Om zeker te zijn van een succesvolle aankoop is begeleiding door een deskundige makelaar wenselijk of zelfs noodzakelijk. Of het nu gaat om begeleiding bij het volledige aankooptraject of juist om die ene 'gouden tip', onze deskundige makelaars beschikken over alle faciliteiten om op uw specifieke wensen in te spelen. Voor een heldere en vrijblijvende uitleg over het volledige aankooptraject neemt u contact op met Van de Water Makelaars.Taxaties  De waarde van uw woning die voor u van belang is, kan alleen realistisch beoordeeld worden door een deskundige. Onze brede praktijkervaring en onze uitgebreide informatiebronnen vormen de garantie voor een realistisch en deskundig waarde-oordeel. Onze taxatie-rapporten zijn zeer uitgebreid en houden op weloverwogen wijze rekening met alle relevante gegevens. Voor een realistische en deskundige taxatie van uw woning neemt u contact op met Van de Water Makelaars.",96,398,153,https://www.funda.nl/en/makelaars/kantoor/breda/19178-van-de-water-makelaars/
Van der Sande Makelaars,4818 ST,"Wij bieden jou:1. Meer tijd voor jou, maar ook voor bezichtigingen;  2. Courtage naar tevredenheid: jij bepaalt wat je betaalt;  3. Zeer actieve opvolging na bezichtigingen met 24/7 digitaal inzicht in jouw dossier;  4. Volledige zaterdag beschikbaar voor bezichtigingen;  5. Reviews van kijkers aanvullend op die van verkopers & aankopers;  6. Veel contact met woningzoekenden door afdelingen aankoop, hypotheken, verhuur en nieuwbouw;  7. Meer klanten vanuit (met name) de  Randstad vanuit landelijk Dynamis Netwerk.Je kan ons ook appen op 0639475859.  We gaan graag met veel plezier en enthousaisme een gesprek met jou aan!  Team Wonen",240,182,378,https://www.funda.nl/en/makelaars/kantoor/breda/19033-van-der-sande-makelaars/
Ditters Makelaars Ede,6711 PM,"Welkom bij dé actieve makelaars voor de regio West-Veluwe ValleiU bent op zoek naar een huis? Overweegt u de verkoop van uw woning? Dan bent u bij Ditters Makelaars aan het juiste adres. Dit NVM-kantoor, met vestigingen in Veenendaal, Ede, Wageningen en Arnhem helpt u bij het nemen van de juiste beslissingen. Op deze website vindt u ons actuele woningaanbod en informatie over de begeleiding die wij bieden bij de verkoop van uw huis of bij aankoop van uw droomwoning. Daarnaast kunt u bij onze ervaren medewerkers ook terecht voor hypotheken, taxaties en verzekeringen. Ditters: Samen meer in huis.",517,114,421,https://www.funda.nl/en/makelaars/kantoor/ede/18175-ditters-makelaars-ede/
Makelaardij de Parel,3826 EC,"In  kennen wij elke straat maar in  kennen we letterlijk elke hoek. Harro, René en Ivette wonen en werken al ruim 13 jaar in Vathorst. Hierdoor kennen we de markt in Vathorst als onze broekzak.Hierdoor zijn wij dagelijks te vinden in Vathorst voor het kopen en verkopen van woningen. Voluit gaan voor de klant, dat is wat wij leuk vinden. Makelen is ons vak en onze passie. Dit doen wij vanuit een traditionele basis met een flinke lading vernieuwende ideeën, met als doel uw woning succesvol te verkopen!De werkwijze waarop wij uw woning gaan verkopen of kopen is uniek en duidelijk. Vanuit ons moderne kantoor in Vathorst (tegenover het Gezondhiedscentrum) en onze etalagevestiging in winkelcentrum Vathorst (Bij de Primera) presenteren wij ons woningaanbod.Wij staan voor u klaar tijdens kantooruren of daarbuiten als u dat beter schikt!UW HUIS VERKOPEN IN AMERSFOORT -VATHORST?- Afspraken 6 dagen per week en 's avonds mogelijk  - Vrijblijvend verkoopadvies  - Gratis WaardebepalingBel Harro op 06-21 90 47 75Rene op 06-53 57 31 55Ivette op 06-48 08 63 65",360,270,293,https://www.funda.nl/en/makelaars/kantoor/amersfoort/168-makelaardij-de-parel/
